date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Assam,18,Nagaon,297,387,315,644,205185,0,3918,1268,3973,3993,11832,119393,86689,4250,117125,2268,237304,2425,28982,17289,29532,78104,19590,2301,9097,10293,14,148,7636,6829
01-04-2023,Assam,18,Nalbari,298,88,38,105,66693,0,1449,707,1512,1527,3319,35796,28074,1118,33800,1996,73563,845,8604,1635,4623,15156,1929,294,3058,3316,8,61,4347,4245
01-04-2023,Assam,18,Sivasagar,300,89,78,128,47607,0,1148,115,1180,1229,2574,27839,21273,259,26775,1064,56465,911,5493,1246,3922,10828,1413,167,2412,2367,6,47,2508,2339
01-04-2023,Assam,18,Sonitpur,301,110,50,155,102630,0,1913,394,1935,1989,5321,58141,44529,842,57131,1010,117106,649,14041,4514,9959,28724,4724,210,4391,4724,8,85,1883,1857
01-04-2023,Assam,18,South Salmara Mancachar,707,70,11,104,79786,0,549,425,550,550,4203,42811,31369,2710,42515,296,85904,88,12840,5987,11924,33109,8345,2358,3947,3574,3,20,82,79
01-04-2023,Assam,18,Tamulpur,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-04-2023,Assam,18,Tinsukia,302,332,314,604,96799,0,1909,148,1995,2021,5379,60969,46408,494,59576,1393,122272,624,16480,3700,10341,30774,3953,253,4862,4654,8,68,3154,2852
01-04-2023,Assam,18,Udalguri,617,41,24,105,55369,0,1406,164,1427,1439,2983,30690,22349,777,29070,1620,61388,2012,6171,5142,6258,18127,5698,556,2746,2620,5,53,261,143
01-04-2023,Assam,18,West Karbi Anglong,710,4,5,22,32786,0,811,188,846,852,1497,23177,15391,1564,22807,370,42429,273,4524,3932,4439,14118,5155,1223,1188,1176,4,29,167,131
01-04-2023,Bihar,10,Araria,188,1774,2026,509,279362,0,2708,1528,2753,2807,8844,148385,107099,23103,146803,1582,289323,287,32703,21809,25669,101671,43299,21490,10886,14109,9,108,21276,21106
